sprint,time,model time overall project,taskID,storyPoints,start/end,BackEnd Exp,FrontEnd Exp,Design Exp
13,16576,1004,129,6,start,12.7,22.2,11.9
13,19953,1013,129,6,end,12.7,23.1,11.9
14,32,1040,146,3,start,12.7,23.1,11.9
14,2284,1046,146,3,end,13.15,23.55,11.9
14,2289,1046,148,9,start,13.15,23.55,11.9
14,9041,1064,148,9,end,13.15,24.9,13.25
14,9044,1064,159,5,start,13.15,24.9,13.25
14,12046,1072,159,5,end,13.15,25.65,13.25
14,12051,1072,153,1,start,13.15,25.65,13.25
14,12803,1074,153,1,end,13.15,25.65,13.4
14,12809,1074,160,8,start,13.15,25.65,13.4
14,20686,1095,160,8,end,13.15,25.65,14.6
14,20692,1095,161,6,start,13.15,25.65,14.6
14,26694,1111,161,6,end,13.15,25.65,15.5
15,23,1120,187,8,start,13.15,25.65,15.5
15,6399,1137,187,8,end,14.35,26.85,16.7
15,6404,1137,170,2,start,14.35,26.85,16.7
15,7906,1141,170,2,end,14.65,27.15,16.7
15,7911,1141,176,1,start,14.65,27.15,16.7
15,8663,1143,176,1,end,14.8,27.3,16.7
15,8668,1143,175,10,start,14.8,27.3,16.7
15,16170,1163,175,10,end,14.8,28.8,18.2
15,16175,1163,189,7,start,14.8,28.8,18.2
15,20302,1174,189,7,end,14.8,29.85,18.2
15,20309,1174,168,1,start,14.8,29.85,18.2
15,21061,1176,168,1,end,14.8,29.85,18.35
15,21067,1176,186,8,start,14.8,29.85,18.35
15,28944,1197,186,8,end,14.8,29.85,19.55
15,28950,1197,192,1,start,14.8,29.85,19.55
15,29702,1199,192,1,end,14.8,29.85,19.7
16,24,1200,203,2,start,14.8,29.85,19.7
16,1526,1204,203,2,end,15.1,30,19.7
16,1531,1204,206,7,start,15.1,30,19.7
16,8283,1222,206,7,end,16.15,30,20.75
16,8288,1222,192,7,start,16.15,30,20.75
16,12415,1233,192,7,end,16.15,30,21.8
16,12420,1233,207,10,start,16.15,30,21.8
16,18422,1249,207,10,end,16.15,30,23.3
16,18428,1249,210,9,start,16.15,30,23.3
16,23680,1263,210,9,end,16.15,30,24.65
17,18,1280,214,8,start,16.15,30,24.65
17,5269,1294,214,8,end,17.35,30,25.85
17,5274,1294,218,2,start,17.35,30,25.85
17,6776,1298,218,2,end,17.65,30,26.15
17,6781,1298,221,2,start,17.65,30,26.15
17,8283,1302,221,2,end,17.95,30,26.45
17,8291,1302,229,7,start,17.95,30,26.45
17,12417,1313,229,7,end,17.95,30,27.5
17,12423,1313,222,6,start,17.95,30,27.5
17,15800,1322,222,6,end,17.95,30,28.4
17,15806,1322,242,7,start,17.95,30,28.4
17,22558,1340,242,7,end,19,30,28.4
18,23,1360,245,5,start,19,30,28.4
18,3775,1370,245,5,end,19.75,30,29.15
18,3780,1370,251,10,start,19.75,30,29.15
18,11282,1390,251,10,end,21.25,30,30
18,11287,1390,250,7,start,21.25,30,30
18,15414,1401,250,7,end,22.3,30,30
18,15420,1401,248,9,start,22.3,30,30
18,20672,1415,248,9,end,23.65,30,30
19,31,1440,271,10,start,23.65,30,30
19,6033,1456,271,10,end,25.15,30,30
19,6038,1456,272,3,start,25.15,30,30
19,7540,1460,272,3,end,25.6,30,30
19,7545,1460,277,10,start,25.6,30,30
19,13547,1476,277,10,end,27.1,30,30
19,13553,1476,284,6,start,27.1,30,30
19,16930,1485,284,6,end,28,30,30
19,16935,1485,278,4,start,28,30,30
19,19187,1491,278,4,end,28.6,30,30
